"Q1: What is your age group?  ,Q2: What is your occupation?,Q3: Are you aware that AI is used to personalize the ads you see online?, Q4:  How often do you interact with online advertisements (personalized or general)?  ,Q5: Which platforms do you see personalized ads on the most? (Select all that apply),""Q6: In the past, how much have you spent on purchases influenced by personalized ads?"",Q7: How concerned are you about the amount of personal data companies collect to show personalized ads?,Q8: Which of the following data do you think is most often used by companies to personalize ads? (Select all that apply)  ,""Q9: When encountering personalized ads, do you feel you’ve given sufficient consent for your data to be used?"",Q10: What level of transparency do you expect from companies that use AI for personalized advertising?,""Q11: To what extent do you agree with the following statement: """"Personalized ads can manipulate my purchasing decisions by exploiting my preferences or emotions."""""",Q12: Do you think personalized ads are more persuasive than traditional ads?,Q13: Have you ever felt manipulated by personalized ads into making purchases you didn’t intend to?,Q14: Have you noticed that personalized ads are biased toward targeting specific demographic groups? , Q15: Do you think incorporating bias detection mechanisms in AI systems can improve fairness in personalized ads?  ,Q16: How often do you use privacy-focused tools such as ad blockers or VPNs to limit personalized ads?  ,""Q17: Have you noticed that ads for products or services you searched for follow you across different platforms (e.g., from Google to Facebook)?  "",""Q18: How much do you feel that personalized ads influence your emotions (e.g., excitement, urgency) when deciding on purchases?  "",Q19: Do you feel that you have adequate control over the types of personalized ads you see?  ,Q20: Do you believe that personalized ads reinforce existing stereotypes?"
"0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,2,0,0"
"0,0,0,1,1,1,5,1,1,0,3,0,0,0,1,1,1,2,1,1"
"0,0,1,2,2,2,4,0,1,0,3,0,1,1,0,0,1,4,0,0"
"0,0,0,0,3,1,4,2,1,0,3,1,2,0,0,0,0,4,0,1"
"0,0,0,3,2,2,4,0,0,0,4,0,0,0,0,0,1,4,1,2"
"0,0,0,0,2,3,5,3,1,0,3,0,2,2,0,0,0,2,1,2"
"0,0,0,2,1,1,5,4,1,0,3,0,0,2,0,2,1,3,2,1"
"0,0,0,0,4,3,5,5,1,0,4,0,1,0,0,1,1,3,0,1"
"0,0,0,0,0,3,4,6,1,1,4,0,2,0,0,1,1,3,1,1"
"0,0,2,2,5,0,2,5,0,1,2,1,1,0,1,0,2,1,0,2"
"0,0,0,2,3,2,5,1,1,0,3,0,0,2,1,2,1,3,0,0"
"1,1,1,3,6,0,2,7,0,0,3,1,2,0,1,0,0,3,1,1"
"1,2,1,1,4,3,5,8,0,0,5,0,2,1,0,0,1,3,3,1"
"0,3,0,4,4,4,1,3,1,2,5,0,2,0,0,2,1,5,3,1"
"1,3,1,1,7,1,1,9,1,0,5,2,0,2,2,3,2,1,2,0"
"1,4,0,0,4,1,5,3,2,0,5,1,2,1,0,3,1,2,3,1"
"1,3,0,3,8,2,5,3,1,0,4,0,2,0,0,1,0,2,1,1"
"0,5,0,2,1,2,3,1,2,0,3,0,2,0,0,0,1,4,0,2"
"1,3,0,3,1,4,4,10,1,0,4,1,2,0,0,2,1,3,3,1"
"0,0,0,1,9,0,4,11,1,0,3,0,2,0,2,3,1,2,0,0"
"1,3,0,3,4,1,5,3,1,0,5,0,2,0,0,1,1,3,0,1"
"0,0,0,4,2,0,5,3,1,1,3,0,0,0,1,1,1,3,0,1"
"1,3,0,0,10,2,3,3,2,0,3,0,2,0,0,2,1,3,1,0"
"0,5,0,3,2,2,5,5,1,0,4,0,2,0,1,1,1,2,4,1"
"1,6,0,4,11,2,5,12,1,0,1,1,0,0,0,3,1,1,3,0"
"0,3,0,4,10,4,2,9,1,0,1,2,2,0,2,2,1,2,3,0"
"1,3,0,3,1,2,5,9,0,1,3,0,1,0,2,1,0,1,3,1"
"2,3,0,4,4,1,5,13,1,0,5,0,2,0,0,3,1,5,0,1"
"0,3,0,3,3,1,3,14,2,0,4,1,1,0,0,1,1,4,1,0"
"0,3,1,4,3,0,5,5,0,0,5,0,2,2,1,4,2,3,0,0"
"0,5,0,0,3,1,5,3,1,0,3,1,0,1,0,4,1,2,1,0"
"2,3,1,1,4,1,5,3,1,0,2,1,0,1,0,4,1,3,2,0"
"2,3,0,1,3,3,3,0,2,0,2,2,0,0,0,0,1,3,3,0"
"0,3,0,2,10,0,4,5,1,0,3,1,0,2,0,1,0,3,1,0"
"1,7,0,2,8,4,3,9,0,2,1,1,0,0,0,0,1,2,3,0"
"1,3,0,2,12,4,3,9,1,0,2,0,1,1,1,4,1,4,1,1"
"0,0,0,1,3,1,1,3,1,0,3,1,0,0,1,4,1,1,2,1"
"0,3,0,2,2,2,3,15,0,1,3,1,0,1,1,0,0,3,1,0"
"0,0,0,0,0,2,5,16,1,1,3,1,1,0,0,1,1,4,0,0"
